# "C-13 APPENDIX - SINGLE YEAR AGE RETURNS BY RESIDENCE, SEX  AND LITERACY STATUS"
Table.Name,State.code,Dist.Code,Area.Name,Literate.Illiterate,Age,Persons.All,Males.All,Females.All,Persons.Rural,Males.Rural,Females.Rural,Persons.Urban,Males.Urban,Females.Urban
C3813A,00,00,India,Illiterate,58,2975824,732188,2243636,2534714,616408,1918306,441110,115780,325330
C3813A,00,00,India,Illiterate,59,2260999,733398,1527601,1826762,599190,1227572,434237,134208,300029
C3813A,00,00,India,Illiterate,60,10685204,3944097,6741107,8763381,3339243,5424138,1921823,604854,1316969
C3813A,00,00,India,Illiterate,61,2945354,1056147,1889207,2409820,887950,1521870,535534,168197,367337
C3813A,00,00,India,Illiterate,62,2753595,911250,1842345,2345600,789285,1556315,407995,121965,286030
C3813A,00,00,India,Illiterate,63,1690534,479059,1211475,1426779,402812,1023967,263755,76247,187508
C3813A,00,00,India,Illiterate,64,1914752,634172,1280580,1572271,533133,1039138,342481,101039,241442
C3813A,00,00,India,Illiterate,65,8066701,2926700,5140001,6686594,2521387,4165207,1380107,405313,974794
C3813A,00,00,India,Illiterate,66,2343563,829381,1514182,1938127,710181,1227946,405436,119200,286236
C3813A,00,00,India,Illiterate,67,1142619,370726,771893,955748,316424,639324,186871,54302,132569
C3813A,00,00,India,Illiterate,68,1830627,512989,1317638,1571550,444587,1126963,259077,68402,190675
C3813A,00,00,India,Illiterate,69,1446097,505337,940760,1180531,426304,754227,265566,79033,186533
C3813A,00,00,India,Illiterate,70,7392656,2879304,4513352,6128009,2492227,3635782,1264647,387077,877570
C3813A,00,00,India,Illiterate,71,1740087,654702,1085385,1417766,557934,859832,322321,96768,225553
C3813A,00,00,India,Illiterate,72,1118483,397512,720971,933742,343132,590610,184741,54380,130361
C3813A,00,00,India,Illiterate,73,594835,187580,407255,488100,156969,331131,106735,30611,76124
C3813A,00,00,India,Illiterate,74,722563,250654,471909,575578,208267,367311,146985,42387,104598
C3813A,00,00,India,Illiterate,75,3076096,1126701,1949395,2511105,967539,1543566,564991,159162,405829
